知识类型,描述,来源,标签,质量
数值,【MOBA伤害公式与减伤体系】MOBA伤害计算通用模型：物理伤害=攻击力×(1-护甲减伤率)，减伤率=护甲/(护甲+护甲常数K)，K值决定护甲价值拐点（王者荣耀K≈200，英雄联盟K≈100+护甲值变化）。穿透设计：固定穿透（直接减少护甲值）vs百分比穿透（按比例忽视护甲），高护甲敌人用固定穿透效率高，百分比穿透对全体有效。魔法伤害类似但使用魔抗/法穿体系。暴击系统：暴击率×暴击伤害，通常200%暴击伤害为基准，部分英雄有特殊暴击机制。真实伤害：忽视所有减伤，用于克制坦克，数值应低于同费用物理/魔法技能的60-70%。,英雄联盟/王者荣耀数值分析,"伤害公式,护甲减伤,穿透设计,暴击体系,真实伤害",深度
数值,【MOBA英雄强度与版本节奏】英雄强度评估三维度：(1)胜率——各段位全局胜率，健康区间48-52%，超过54%考虑削弱；(2)选取率——反映吸引力而非强度；(3)禁用率——高禁用率=强度压迫感强（即使胜率正常）。版本节奏设计：每2-4周一次平衡补丁，每次调整幅度不超过5-10%（避免跳变破坏玩家认知）；重大版本（赛季初/新赛季）可大幅调整，配合新英雄/新机制吸引回流。数值调整公式：技能伤害每调整10%影响英雄胜率约1-1.5%（经验值）。削弱原则：优先削弱强度来源（核心技能）而非基础属性（减少蝴蝶效应）。,英雄联盟/王者荣耀版本数据+官方设计师博客,"英雄强度,胜率平衡,版本节奏,平衡补丁,削弱原则",深度
数值,【MOBA经济系统——补刀与击杀金币】MOBA经济设计双轨：(1)被动经济——每秒固定金币收入+补刀奖励（英雄联盟补刀约20-21金），补刀技术决定经济优势，前15分钟补刀差距可达100刀=2000金差距；(2)主动经济——击杀奖励（300金）/助攻奖励/建筑奖励/野区资源（大龙/BARON奖励全队经济）。雪球防控机制：反杀奖励（击杀经济领先方额外奖励+25-50%）、死亡金币惩罚递增（连杀越多死亡损失越大）。资源点时间设计：小龙5分钟刷新/大龙20分钟首次刷新/路人大龙20分钟，驱动地图节奏。,英雄联盟/Dota2经济系统分析,"经济系统,补刀,击杀金币,雪球防控,野区资源",深度
数值,【MOBA技能设计——CD与费用平衡】技能设计三参数：冷却时间/法力消耗/效果强度。低CD技能（2-5s）：效果单一，骚扰/维持消耗定位；中CD技能（8-15s）：主要输出/控制来源；大招（60-120s）：决定性效果，战团核心。法力经济设计：技能密集期（前6级）法力应在无回复道具下维持3-4次完整连招；持续消耗技能（开关类）需单独计算每秒消耗与回复的平衡。无法力英雄（能量/怒气）：能量回复快但上限低（强调节奏感），怒气需主动积累（强调进攻性）。控制技能时长黄金区间：硬控（击飞/冻结）0.75-1.5秒，软控（减速）1.5-3秒。,英雄联盟/王者荣耀技能数据分析,"技能设计,CD平衡,法力消耗,控制时长,能量系统",深度
系统,【MOBA地图设计——三路结构与视野系统】标准MOBA地图设计要素：三条兵线（上路/中路/下路）+野区+河道。关键节点：一塔（前哨）/二塔（防御核心）/高地塔/水晶，摧毁成本递增制造清晰推进目标。视野系统：草丛（进入才可见）+侦查眼位（需主动插眼）+战争迷雾（未探索区域黑色），视野博弈是中高级策略核心。野区资源分布：均匀分布在两侧，避免一侧野区价值过高导致战术单一。河道资源（大小龙）：位于地图中心线，争夺需双方投入，制造高价值团战节点。地图尺寸：步行从一方高地到对面高地约4-5分钟，决定游走（roam）成本和支援节奏。,英雄联盟/Dota2/王者荣耀地图设计分析,"地图设计,三路结构,视野系统,草丛,野区资源",深度
系统,【MOBA英雄设计框架——定位与技能套路】英雄设计五步法：Step1确定定位（刺客/战士/法师/射手/辅助/打野）→Step2确定核心机制（1个独特机制定义英雄个性）→Step3设计技能组合（Q/W/E/R，技能间有协同或条件触发）→Step4确定数值范围（强项突出，弱项明显）→Step5设计上手曲线（简单技能2-3个，深度来自被动/组合）。英雄辨识度设计：外观/技能视效/击杀音效应强烈区分，玩家3秒内能识别敌方英雄定位。克制体系：每个英雄有明确软克制（1-2个）和软被克（1-2个），但不应有硬克制（某英雄见某英雄必输）。,英雄联盟设计师博客+王者荣耀英雄设计访谈,"英雄设计,定位体系,技能组合,辨识度,克制体系",深度
系统,【MOBA兵线与推塔系统设计】兵线系统设计：小兵每隔30秒出兵（1波），包含3个近战+3个远程（标准波），超级兵线（攻陷对方防御塔后）全面增强。推塔机制：塔有攻击范围+伤害（对英雄伤害高，对小兵伤害固定），进塔需小兵掩护（否则被塔打）。兵线优先级控制：清线（快速清空小兵）/压线（控制在对方塔前）/拉线（将小兵引向特定区域）是基础操作技术。建筑血量设计：外塔约2000HP/内塔约3000HP/高地塔约4000HP+额外防御，摧毁成本递增防止速推。史诗资源（大龙/BARON）：提供全队30-60秒强化，期间推线能力翻倍，是最强团战奖励。,英雄联盟/Dota2机制分析文档,"兵线系统,推塔机制,清线压线,建筑血量,史诗资源",深度
玩法,【MOBA核心循环——对线-团战-推塔三角】MOBA核心循环：(1)对线阶段（0-15分钟）——各路英雄单独发育，补刀+对拼，建立经济/等级优势；(2)游走/抢资源阶段（10-20分钟）——强英雄游走支援，争夺视野/野区/龙；(3)团战阶段（15分钟+）——围绕目标发起团战，团战胜利转化为建筑优势；(4)收尾阶段——建立足够优势后强推高地结束游戏。循环节奏控制：分钟级里程碑（5分钟出龙/10分钟游走/20分钟大龙），驱动玩家有节奏的决策。单局时长设计：竞技向25-35分钟/休闲向15-20分钟，过长玩家疲劳流失。,英雄联盟/王者荣耀核心循环分析,"核心循环,对线阶段,团战,推塔,里程碑",深度
玩法,【MOBA团战设计——编队与站位】5v5团战设计维度：(1)编队构成——前排（坦克承伤）/中排（输出）/后排（远程/辅助），缺少任一层次导致编队脆弱；(2)开团时机——视野优势+数量优势+CD优势三者同时满足才开团；(3)站位原则——后排保持最大射程外输出，前排尽可能控制对方后排；(4)技能命中率——大范围AOE（范围团控）>单体控制（精准但可闪）。团战反馈设计：击杀连续音效（Double Kill/Triple Kill）、战报（输出/承伤/治疗排行）强化个人贡献感。击杀延迟：死亡后0.5-1秒展示击杀回放，增加爽感同时给予复盘。,英雄联盟/王者荣耀团战设计分析,"团战设计,编队构成,站位原则,开团时机,击杀反馈",深度
策划,【MOBA商业化设计——英雄+皮肤双轨】MOBA商业化双轨：(1)英雄销售——新英雄上线初期定价偏高（388/488点券），一段时间后进入轮换/打折，通过时间换购或付费获得；(2)皮肤销售——不影响竞技性，视觉差异化，稀有度分层（史诗/传说/永久限定）。皮肤定价体系：普通皮肤5-10元，高品质皮肤30-50元，限定/联名皮肤100-300元+。赛季通行证：包含皮肤/头像/表情框，竞技赛季与通行证绑定，约30-68元/赛季。关键数据：头部MOBA皮肤收入占总收入70-80%。免费获取英雄机制（每日登录/任务积分）降低付费门槛，扩大玩家基数，间接促进皮肤消费。,王者荣耀/英雄联盟商业化数据分析,"商业化,英雄销售,皮肤体系,定价策略,赛季通行证",深度
策划,【MOBA电竞化设计——职业赛事与观赛体验】MOBA电竞设计三层：(1)内容层——英雄池深度（>100英雄保证Ban/Pick策略多样性）、版本节奏与赛事档期配合（赛前2周冻结版本）；(2)观赛层——观察者模式（自由视角/跟随视角/技能视效增强）、解说信息面板（实时金钱差/输出排行）；(3)生态层——职业联赛+次级联赛+主播生态，三层形成完整内容供给。观赛数据：全球MOBA电竞观赛人次峰值在世界赛，单场可达7000万。游戏内电竞联动：赛事皮肤/赛事预测/直播观看奖励，将电竞流量转化为游戏内活跃。,英雄联盟S赛数据+王者荣耀KPL分析,"电竞化,职业赛事,观赛体验,Ban/Pick,电竞生态",深度
策划,【MOBA新手引导与留存设计】MOBA新手流失最高点：前3局（规则复杂）+第15局（遭遇高段位打击）。新手引导分层：(1)教程关（Bot对战）——掌握基本操作，5-10分钟，奖励丰厚；(2)人机模式——低压环境练习英雄，无排位/评分压力；(3)新手保护赛（前20场）——匹配同等新手，降低被虐概率。英雄推荐系统：新手推荐操作简单、容错高的英雄（刺客/难度高英雄标红提示）。留存机制：每日登录奖励（英雄碎片/金币）、战队系统（强社交绑定）、赛季段位成就（季末皮肤/头像框）。次日留存目标>45%，7日>25%，30日>15%。,王者荣耀/英雄联盟用户分层设计分析,"新手引导,流失节点,人机模式,英雄推荐,留存设计",深度
系统,【英雄联盟英雄分类CPD框架】Class职业定位（战士/坦克/法师/刺客/射手/辅助）+Position分路位置（上/野/中/下/辅）+Difficulty难度三维矩阵对英雄分类。五维能力评估模型：伤害/强韧/控制/机动/功能，每个英雄有独特的五维特征雷达图。设计师用该框架填补矩阵空白、平衡英雄生态位与成长体系。英雄设计原则：每个新英雄需填补空白或创造新玩法空间，而非仅在已有定位加数值；克制关系确保无全能英雄，每个英雄有1-2个明确软克。,英雄联盟英雄分类框架浅析,"英雄分类,CPD框架,五维能力,生态位,克制关系,MOBA设计",深度
