知识名,知识内容
战斗操作四维度设计,Hades基础操作分为4个战斗维度：普攻（Normal Attack）、特攻（Special Attack）、冲刺（Dash）、投掷（Cast）。四个维度相互独立、互不干扰，每个维度都有独立的成长空间（均可被祝福强化），对新手友好的同时深度极高。冲刺不仅是移动手段，更是Build核心维度之一，许多神明有专属冲刺祝福（如雅典娜冲刺偏转）。
冲刺动作作为战斗核心桥梁,冲刺是Hades战斗流畅感的关键设计。特点：①短CD高频次（3次蓄力）；②几乎可以从任何状态切入（优先级仅低于死亡）；③可越过大多数障碍物；④受击硬直时也可冲刺打断。冲刺将攻击与防守融为一体，是"攻防一体动作"：既可突进攻击，又可紧急规避。这使得战斗始终流畅而不因受击被打断，消除阻滞感是其核心设计目标。
战斗节奏设计：跑轰风格,Hades战斗节奏定义为"跑轰型"：高频攻防转换+高攻击频率。两个情绪维度：①攻防转换频率驱动紧张感积累（需要玩家保持高度专注抓准攻击窗口）；②高攻击频率提供紧张情绪的宣泄出口（操作行为本身=情绪释放）。设计原则：持续累积紧张->不断通过操作宣泄，形成爽感循环。整体避免低频蓄力型战斗风格带来的等待疲劳。
作战窗口（Combat Window）设计,作战窗口是玩家"能有效对敌人造成伤害的战斗机会"。Hades的作战窗口设计特点：①数量多（普通关卡多敌人保证密集的攻击机会）；②时长短（BOSS战敌人攻击频率高、破绽时间短，逼迫玩家快速把握）；③多重威胁体系（远近混合敌人+陷阱）保证玩家始终被威胁，维持高频的攻守转换。多重威胁同时也避免了单一武器对单一敌人形成无趣的最优解。
战斗时长三个特征,Hades的单关卡战斗时长设计具备三个关键特性：①短（大多数非Boss房间1分钟内结束，单敌TTK低于5秒）：提供快节奏爽快感，避免操作疲劳；②随进程成长（敌人数值/机制增长幅度>玩家角色成长幅度，呈阶梯型）：保证全程存在有效挑战感；③波动大（因路线选择和随机性，不同房间时长差异显著）：提供随机性和新鲜感，避免重复机械感。
打击感设计金字塔模型,Hades构建了一套打击感四维模型：拟真（最底层，符合常识认知的基础反馈）→夸张（基于有效反馈的放大与变形）→临场感（镜头/特效沉浸）→观察感（突出打击过程可视化）。Hades在信息量有限的半俯视角限制下，重点做了拟真和夸张两层：利用用户对动作行为的预期（大剑停顿=力量感，长枪残影=速度感，拳套连贯=流畅感），而非追求全维度极致。
武器差异化攻击动作设计,六种武器通过帧动画处理实现截然不同的体验：①大剑：加长关键帧停留时间，强调蓄力和力量感，配合轻微镜头拉近重击特写；②长枪：缩短过程帧+残影效果，塑造速度感；③拳套：连贯画面保持流畅感，适合连打流派；④弩炮：后坐力位移设计（角色反向位移=开炮感）；⑤盾牌：防御蓄力攻击，平衡型战斗节奏；⑥弓：远程蓄力，镜头拉高扩大视野。不同武器驱动玩家形成完全不同的战斗节奏偏好。
受击反馈分层机制,敌人受击存在4种状态差异化反馈：①硬直破防（有明显位移+飞出动画）；②无伤防御（模型原地震动，无位移）；③无敌状态（护盾光效提示，弹刀感）；④死亡（击飞+死亡特效）。每种状态在视觉和手感上清晰可辨，传递重要战斗信息。击退碰墙还会触发反弹伤害（弹墙效果），夸张化物理表现增强爽感。顿帧设计用于重击时机，突出"正中"的力量感，但全程保持克制不过用。
Build构建三要素,Hades的Build系统以三要素为核心：①有选择（足够数量的可选技能）：6种武器×4形态+百余种祝福+变异选项，通过多维度叠加产生指数级选择空间；②有意义的选择（差异化体验和功能）：不同神明祝福定义完全不同的战斗流派，高频直伤型/诅咒Dot型/击退流型等，选择即风格；③有关联的选择（效果耦合）：纵横斜三方向的技能关联，让Build不是单纯的数值堆叠，而是形成联动的机制放大效果。
武器变异（Daedalus Hammer）系统,武器变异是每局内的强力修饰层，在第二关卡前必定出现一次（保证玩家能提前确定Build方向）。特点：①数值加成极大（常见300%以上强化）；②包含动作机制修改（如将普攻改为群体攻击）；③与祝福形成"纵向"关联，是整个Build的导向标。设计逻辑：变异先于祝福确定核心方向，玩家再基于变异选择配套的祝福，而不是反向。
祝福稀有度数值梯度,每种祝福存在Common/Rare/Epic/Heroic（普通/稀有/史诗/英雄）四个品质，不同品质下同一祝福的数值差距极大。示例：普通品质可能附加20%概率触发，而英雄品质可达60%+。品质不仅是数值提升，更是策略选择维度——低品质但机制搭配好的祝福往往强于高品质但机制孤立的祝福。数值随机性+机制权衡减少了"无脑选最优解"的情况，保持Build多样性。
关卡与怪物设计原则,四大生物群落的敌人设计遵循由简到繁原则：①Tartarus（初始区域）：效果单一、攻击模式简单；②Asphodel：引入远程、护盾等机制；③Elysium：复杂机制组合、精英敌人大量出现；④Styx神殿：高难度精英+Boss序列。怪物属性包含：护甲（高硬直抗性）、重生机制（击杀后复活）、位移能力。循序渐进保证玩家自然提升操作和策略能力，而不会产生望而却步的挫败感。
Boss战设计哲学,Hades共4个主要Boss（Megaera、Lernie、Asterius、Theseus、Hades），各有独特机制和阶段变化。Boss设计目标：同时验证玩家的操作能力和Build策略两个维度。Boss特点：①作战窗口小（高频攻击、破绽时间短）；②多阶段切换；③技能组合在近远范围均有覆盖（防止单一武器形成无趣最优解）。最终Boss哈迪斯即使玩家Build极强，仍需掌握机制才能通关——这是策略与技术并重的验证节点。
好感度叙事驱动闯关,游戏设计了超过2万条配音台词，并通过状态感知系统动态匹配：系统根据玩家当前武器、位置、NPC好感度等参数判断该播放哪条对话。这使得每次死亡回到家中的体验都不重复。好感度提升带来新的对话内容，而新对话内容又是玩家继续闯关的动力，形成"死亡->解锁新剧情->再次出发"的叙事正反馈循环。死亡本身是推进故事的唯一方式，逆向利用了Roguelite的核心弱点。
路线选择策略设计,玩家在完成房间后可看到前方2-3个房间的奖励图标（祝福/黑暗/宝石/Obols/商店/精英房间/Boss），进行路线规划。路线策略维度：①奖励类型优先级（此时缺什么选什么）；②精英房间高风险高回报取舍；③商店时机（Obols够时才有价值）。路线可见但不完全透明（仅看到图标类型，不知具体内容），保留适度随机性同时给予玩家掌控感，是"策略性随机"的典型设计。
冲刺祝福与攻防一体思路,冲刺作为攻防两用动作，多位神明专门为其提供祝福：雅典娜冲刺可偏转敌人弹幕（防守转反击）、波塞冬冲刺可触发击退波浪（攻击性位移）、阿瑞斯冲刺可留下诅咒刀刃（攻击性陷阱）。不同冲刺祝福彻底改变战斗中的攻防权衡逻辑：同一个冲刺动作，选择不同神的祝福就拥有完全不同的战术定位，极大拓展了单一动作的策略深度。
